2016-09-14 16:27:04 startup archives install
2016-09-14 16:27:04 install base-passwd:amd64 <none> 3.5.39
2016-09-14 16:27:04 status half-installed base-passwd:amd64 3.5.39
2016-09-14 16:27:04 status unpacked base-passwd:amd64 3.5.39
2016-09-14 16:27:04 status unpacked base-passwd:amd64 3.5.39
2016-09-14 16:27:04 configure base-passwd:amd64 3.5.39 3.5.39
2016-09-14 16:27:04 status unpacked base-passwd:amd64 3.5.39
2016-09-14 16:27:04 status half-configured base-passwd:amd64 3.5.39
2016-09-14 16:27:04 status installed base-passwd:amd64 3.5.39
2016-09-14 16:27:04 startup archives install
2016-09-14 16:27:04 install base-files:amd64 <none> 9.4ubuntu4
2016-09-14 16:27:04 status half-installed base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status half-configured base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 status installed base-files:amd64 9.4ubuntu4
2016-09-14 16:27:04 startup archives install
2016-09-14 16:27:04 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2016-09-14 16:27:04 status half-configured dpkg 1.18.4ubuntu1
2016-09-14 16:27:04 status unpacked dpkg 1.18.4ubuntu1
2016-09-14 16:27:04 status half-installed dpkg 1.18.4ubuntu1
2016-09-14 16:27:05 status half-installed dpkg 1.18.4ubuntu1
2016-09-14 16:27:05 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-09-14 16:27:05 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-09-14 16:27:05 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2016-09-14 16:27:05 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-09-14 16:27:05 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-09-14 16:27:05 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-09-14 16:27:05 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-09-14 16:27:05 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-09-14 16:27:05 status half-configured dpkg:amd64 1.18.4ubuntu1
2016-09-14 16:27:05 status installed dpkg:amd64 1.18.4ubuntu1
2016-09-14 16:27:05 startup archives install
2016-09-14 16:27:05 install libc6:amd64 <none> 2.23-0ubuntu3
2016-09-14 16:27:05 status half-installed libc6:amd64 2.23-0ubuntu3
2016-09-14 16:27:05 status unpacked libc6:amd64 2.23-0ubuntu3
2016-09-14 16:27:05 status unpacked libc6:amd64 2.23-0ubuntu3
2016-09-14 16:27:05 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2016-09-14 16:27:05 status unpacked libc6:amd64 2.23-0ubuntu3
2016-09-14 16:27:05 status unpacked libc6:amd64 2.23-0ubuntu3
2016-09-14 16:27:05 status half-configured libc6:amd64 2.23-0ubuntu3
2016-09-14 16:27:05 status installed libc6:amd64 2.23-0ubuntu3
2016-09-14 16:27:05 startup archives install
2016-09-14 16:27:05 install perl-base:amd64 <none> 5.22.1-9
2016-09-14 16:27:05 status half-installed perl-base:amd64 5.22.1-9
2016-09-14 16:27:06 status unpacked perl-base:amd64 5.22.1-9
2016-09-14 16:27:06 status unpacked perl-base:amd64 5.22.1-9
2016-09-14 16:27:06 configure perl-base:amd64 5.22.1-9 5.22.1-9
2016-09-14 16:27:06 status unpacked perl-base:amd64 5.22.1-9
2016-09-14 16:27:06 status half-configured perl-base:amd64 5.22.1-9
2016-09-14 16:27:06 status installed perl-base:amd64 5.22.1-9
2016-09-14 16:27:06 startup archives install
2016-09-14 16:27:06 install mawk:amd64 <none> 1.3.3-17ubuntu2
2016-09-14 16:27:06 status half-installed mawk:amd64 1.3.3-17ubuntu2
2016-09-14 16:27:06 status unpacked mawk:amd64 1.3.3-17ubuntu2
2016-09-14 16:27:06 status unpacked mawk:amd64 1.3.3-17ubuntu2
2016-09-14 16:27:06 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2016-09-14 16:27:06 status unpacked mawk:amd64 1.3.3-17ubuntu2
2016-09-14 16:27:06 status half-configured mawk:amd64 1.3.3-17ubuntu2
2016-09-14 16:27:06 status installed mawk:amd64 1.3.3-17ubuntu2
2016-09-14 16:27:06 startup archives unpack
2016-09-14 16:27:06 install adduser:all <none> 3.113+nmu3ubuntu4
2016-09-14 16:27:06 status half-installed adduser:all 3.113+nmu3ubuntu4
2016-09-14 16:27:06 status unpacked adduser:all 3.113+nmu3ubuntu4
2016-09-14 16:27:06 status unpacked adduser:all 3.113+nmu3ubuntu4
2016-09-14 16:27:06 upgrade base-files:amd64 9.4ubuntu4 9.4ubuntu4
2016-09-14 16:27:06 status half-configured base-files:amd64 9.4ubuntu4
2016-09-14 16:27:06 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:06 status half-installed base-files:amd64 9.4ubuntu4
2016-09-14 16:27:06 status half-installed base-files:amd64 9.4ubuntu4
2016-09-14 16:27:06 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:06 status unpacked base-files:amd64 9.4ubuntu4
2016-09-14 16:27:06 upgrade base-passwd:amd64 3.5.39 3.5.39
2016-09-14 16:27:06 status half-configured base-passwd:amd64 3.5.39
2016-09-14 16:27:06 status unpacked base-passwd:amd64 3.5.39
2016-09-14 16:27:06 status half-installed base-passwd:amd64 3.5.39
2016-09-14 16:27:06 status half-installed base-passwd:amd64 3.5.39
2016-09-14 16:27:06 status unpacked base-passwd:amd64 3.5.39
2016-09-14 16:27:06 status unpacked base-passwd:amd64 3.5.39
2016-09-14 16:27:06 install bash:amd64 <none> 4.3-14ubuntu1
2016-09-14 16:27:06 status half-installed bash:amd64 4.3-14ubuntu1
2016-09-14 16:27:06 status unpacked bash:amd64 4.3-14ubuntu1
2016-09-14 16:27:06 status unpacked bash:amd64 4.3-14ubuntu1
2016-09-14 16:27:06 install bsdutils:amd64 <none> 1:2.27.1-6ubuntu3
2016-09-14 16:27:06 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2016-09-14 16:27:06 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2016-09-14 16:27:06 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2016-09-14 16:27:06 install coreutils:amd64 <none> 8.25-2ubuntu2
2016-09-14 16:27:06 status half-installed coreutils:amd64 8.25-2ubuntu2
2016-09-14 16:27:06 status unpacked coreutils:amd64 8.25-2ubuntu2
